sample ,MT,MG
GZ01,30450774.00 ,19938639.00 
GZ02,57004688.00 ,22471738.00 
GZ03,29826262.00 ,17400674.00 
GZ04,35863244.00 ,28512817.00 
GZ05,30875596.00 ,21233727.00 
GZ06,24491214.00 ,19536785.00 
GZ07,31082266.00 ,18435026.00 
GZ08,29261508.00 ,18171172.00 
GZ09,33776136.00 ,21204752.00 
GZ10,26168664.00 ,23499521.00 
GZ11,31740732.00 ,17347679.00 
GZ12,42036654.00 ,22043784.00 
GZ13,43010618.00 ,65535672.00 
GZ14,35521934.00 ,26517615.00 
GZ15,20073894.00 ,26392828.00 
BJ01,97421746.00 ,114407040.00 
BJ02,55418956.00 ,109697504.00 
BJ03,103582140.00 ,132752910.00 
BJ04,35143938.00 ,149450066.00 
BJ05,62665970.00 ,46657418.00 
BJ06,47452694.00 ,65305622.00 
BJ07,46369370.00 ,97678050.00 
BJ08,82803532.00 ,80023506.00 
BJ09,48497922.00 ,81282906.00 
BJ10,63520902.00 ,122007786.00 
BJ11,35205900.00 ,82193216.00 
BJ12,49041884.00 ,39034176.00 
BJ13,53157372.00 ,69926708.00 
BJ14,48415894.00 ,99464582.00 
BJ15,57117584.00 ,83316746.00 
BJ16,96276612.00 ,74915970.00 
BJ17,32356092.00 ,65034300.00 
BJ18,72053966.00 ,71449532.00 
BJ19,97421746.00 ,109361276.00 
BJ20,41266286.00 ,63943848.00 
BJ21,55418956.00 ,145375762.00 
BJ22,59468764.00 ,56398678.00 
BJ23,77710170.00 ,81986100.00 
BJ24,46971824.00 ,71212514.00 
BJ25,75610696.00 ,89962134.00 
BJ26,58031558.00 ,80831640.00 
BJ27,78309762.00 ,73229062.00 
BJ28,68662034.00 ,76960650.00 
BJ29,70785014.00 ,69992880.00 
BJ30,66187026.00 ,77347984.00 
BJ31,56134376.00 ,74639648.00 
BJ32,26461864.00 ,88145030.00 
BJ33,68435992.00 ,93556594.00 
GZ16,51243294.00 ,32060721.00 
GZ17,70329706.00 ,36765353.00 
GZ18,128989660.00 ,33730770.00 
GZ19,125085806.00 ,35386515.00 
GZ20,60730236.00 ,34456934.00 
GZ21,74584304.00 ,34659009.00 
GZ22,38430342.00 ,31342037.00 
GZ23,45180252.00 ,34212878.00 
GZ24,81804880.00 ,33140317.00 
GZ25,67768940.00 ,32154404.00 
GZ26,58853006.00 ,28665311.00 
GZ27,146170936.00 ,32874411.00 
GZ28,66275604.00 ,36200514.00 
GZ29,95199098.00 ,32495038.00 